,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore,total
78,female,group D,some high school,standard,completed,divorced,sometimes,yes,2,school_bus,> 10,62,75,73,210
79,female,group E,master's degree,standard,none,divorced,never,yes,1,school_bus,05-Oct,60,68,68,196
80,female,group B,associate's degree,standard,none,married,regularly,yes,0,private,> 10,49,50,52,151
81,male,group B,high school,free/reduced,none,married,sometimes,yes,0,private,,49,45,45,139
82,male,group A,some college,free/reduced,completed,married,sometimes,no,,school_bus,05-Oct,50,47,54,151
83,male,group E,associate's degree,standard,none,married,regularly,yes,0,private,05-Oct,74,64,64,202
84,male,group D,high school,free/reduced,none,married,never,,3,private,05-Oct,40,38,33,111
85,female,group C,some college,standard,none,divorced,sometimes,yes,0,private,05-Oct,73,80,82,235
86,female,group C,some college,free/reduced,none,married,sometimes,yes,,school_bus,< 5,73,81,86,240
87,female,group D,associate's degree,standard,none,single,sometimes,yes,0,private,05-Oct,71,71,74,216
88,female,group A,some college,standard,none,divorced,regularly,yes,3,school_bus,< 5,57,69,67,193
89,female,group D,some high school,standard,none,single,sometimes,yes,,private,> 10,75,87,83,245
91,male,group C,high school,free/reduced,none,divorced,regularly,no,4,,05-Oct,27,34,36,97
92,male,group C,high school,standard,none,divorced,sometimes,no,1,,< 5,68,77,69,214
93,male,group C,associate's degree,free/reduced,completed,married,regularly,no,3,private,> 10,45,46,52,143
94,female,group B,some college,standard,none,married,regularly,yes,4,private,05-Oct,81,87,94,262
96,male,group B,some high school,standard,completed,married,regularly,yes,5,school_bus,05-Oct,63,65,61,189
97,female,,some college,standard,completed,married,never,yes,0,school_bus,< 5,59,69,66,194
98,female,group D,some college,free/reduced,none,single,regularly,yes,2,,> 10,61,69,64,194
99,female,group D,bachelor's degree,standard,none,married,regularly,yes,3,school_bus,< 5,64,66,62,192
100,male,group B,some college,standard,none,married,sometimes,no,7,school_bus,05-Oct,79,67,67,213
101,male,group D,bachelor's degree,standard,completed,single,sometimes,no,1,private,05-Oct,68,74,74,216
102,female,group D,associate's degree,standard,none,married,regularly,yes,3,school_bus,05-Oct,87,92,91,270
103,male,group B,high school,standard,completed,married,regularly,no,3,school_bus,05-Oct,61,44,48,153
104,male,,some college,standard,completed,married,regularly,yes,1,school_bus,> 10,100,88,94,282
105,female,group C,some college,standard,none,married,sometimes,yes,0,school_bus,05-Oct,58,67,72,197
106,female,group D,master's degree,standard,none,married,sometimes,no,3,private,05-Oct,87,100,100,287
107,male,group E,,standard,completed,single,sometimes,yes,0,school_bus,05-Oct,66,63,64,193
108,female,group B,associate's degree,free/reduced,none,married,sometimes,yes,2,school_bus,05-Oct,52,76,70,198
109,female,group B,some high school,standard,none,single,regularly,no,3,school_bus,05-Oct,72,64,73,209
110,female,group D,associate's degree,free/reduced,completed,single,sometimes,yes,4,school_bus,> 10,79,90,99,268
111,male,group C,high school,standard,none,single,regularly,no,6,,05-Oct,63,55,50,168
112,male,group A,associate's degree,standard,none,married,sometimes,yes,0,school_bus,05-Oct,54,53,47,154
113,female,group D,some college,standard,none,married,never,yes,1,school_bus,< 5,47,56,51,154
114,female,group E,bachelor's degree,standard,completed,married,regularly,yes,3,school_bus,< 5,98,99,100,297
115,male,group C,high school,standard,none,married,sometimes,yes,4,private,05-Oct,84,77,74,235
116,female,group B,bachelor's degree,free/reduced,none,single,never,no,1,school_bus,05-Oct,72,83,79,234
117,female,group D,bachelor's degree,standard,none,married,never,no,2,private,05-Oct,75,80,77,232
118,female,group D,some high school,standard,none,single,regularly,yes,0,private,> 10,54,64,63,181
119,female,group C,some college,standard,none,divorced,sometimes,no,3,school_bus,05-Oct,55,69,65,189
120,female,group C,bachelor's degree,standard,completed,married,never,yes,1,school_bus,05-Oct,76,90,86,252
121,male,group B,associate's degree,standard,completed,married,sometimes,yes,3,school_bus,< 5,88,87,90,265
122,female,group C,some college,standard,completed,single,regularly,yes,1,,05-Oct,90,94,95,279
123,male,group D,high school,free/reduced,none,married,sometimes,no,3,private,,63,57,56,176
124,male,group E,some college,standard,none,single,regularly,no,3,school_bus,< 5,82,79,73,234
125,female,group B,high school,standard,none,single,never,yes,2,school_bus,> 10,86,94,85,265
126,male,group B,,standard,none,married,,no,3,private,05-Oct,72,68,67,207
127,male,group D,some college,standard,,married,regularly,no,3,school_bus,< 5,64,76,74,214
128,male,group D,master's degree,standard,none,single,never,yes,2,private,< 5,77,81,72,230
129,female,group A,bachelor's degree,standard,none,,regularly,yes,0,school_bus,05-Oct,52,49,52,153
130,male,group D,master's degree,standard,none,single,sometimes,no,1,school_bus,< 5,87,84,82,253
131,male,group C,some high school,free/reduced,completed,single,regularly,yes,1,private,< 5,52,36,40,128
132,male,,some college,free/reduced,completed,married,regularly,yes,2,school_bus,05-Oct,89,75,71,235
133,female,,some college,standard,completed,married,never,no,6,,< 5,70,78,80,228
134,male,group D,bachelor's degree,free/reduced,completed,married,sometimes,yes,1,private,> 10,76,80,76,232
135,male,group C,bachelor's degree,standard,none,married,sometimes,yes,1,,< 5,56,54,47,157
136,male,group B,some high school,standard,completed,divorced,sometimes,yes,1,private,05-Oct,51,54,41,146
137,male,group E,high school,standard,none,divorced,sometimes,yes,0,school_bus,< 5,67,54,54,175
138,female,group C,associate's degree,standard,,married,sometimes,yes,1,private,05-Oct,59,66,67,192
139,male,group D,some college,standard,completed,married,sometimes,yes,0,private,> 10,73,61,70,204
140,female,group D,some high school,standard,none,married,sometimes,no,1,school_bus,05-Oct,76,72,71,219
141,female,group C,some college,free/reduced,none,married,regularly,no,2,private,05-Oct,60,62,65,187
142,female,group E,some college,free/reduced,completed,single,regularly,,1,private,< 5,41,54,54,149
143,male,group A,high school,standard,none,single,sometimes,no,1,school_bus,05-Oct,57,43,47,147
144,male,group D,some college,standard,none,divorced,sometimes,yes,3,private,> 10,90,74,79,243
145,female,group C,some college,free/reduced,none,single,regularly,yes,1,school_bus,< 5,21,38,33,92
148,female,group D,bachelor's degree,standard,completed,married,sometimes,yes,1,private,< 5,65,73,79,217
149,male,group E,associate's degree,free/reduced,completed,married,regularly,no,3,private,05-Oct,100,100,95,295
150,male,group A,some high school,standard,completed,married,sometimes,no,2,private,05-Oct,62,67,69,198
152,female,group B,associate's degree,standard,completed,single,sometimes,yes,2,school_bus,< 5,57,68,64,189
153,male,group D,bachelor's degree,standard,none,married,sometimes,no,1,,05-Oct,54,49,47,150
154,male,group D,some high school,standard,none,single,never,no,2,,< 5,58,65,58,181
155,female,group C,some college,standard,completed,married,regularly,yes,3,school_bus,< 5,69,88,88,245
156,female,group E,high school,free/reduced,completed,married,regularly,yes,1,school_bus,05-Oct,67,75,79,221
157,male,group B,,free/reduced,none,,sometimes,yes,2,school_bus,< 5,58,59,58,175
158,female,group B,associate's degree,standard,,divorced,regularly,yes,2,private,05-Oct,62,87,89,238
159,male,group D,associate's degree,free/reduced,none,married,regularly,no,3,school_bus,> 10,70,63,66,199
160,male,group B,associate's degree,free/reduced,completed,single,sometimes,yes,2,private,05-Oct,82,78,74,234
161,female,group E,some college,free/reduced,completed,married,sometimes,yes,3,school_bus,05-Oct,75,88,85,248
162,male,group B,master's degree,free/reduced,none,single,never,no,2,school_bus,05-Oct,48,53,52,153
163,male,group C,high school,standard,none,divorced,sometimes,yes,1,school_bus,05-Oct,52,53,49,154
164,female,group E,master's degree,standard,none,married,never,yes,3,private,< 5,76,89,86,251
165,female,group C,bachelor's degree,standard,completed,married,sometimes,yes,0,school_bus,05-Oct,96,100,100,296
166,male,group C,high school,free/reduced,completed,single,sometimes,yes,5,private,05-Oct,53,51,51,155
167,female,group B,master's degree,free/reduced,completed,married,regularly,no,1,private,> 10,62,79,83,224
168,female,group B,high school,standard,completed,married,regularly,yes,2,private,05-Oct,70,84,79,233
170,male,group A,high school,standard,completed,divorced,regularly,yes,5,school_bus,> 10,76,75,77,228
171,male,group E,some high school,standard,none,married,sometimes,no,3,school_bus,< 5,91,86,76,253
172,female,group D,some college,standard,none,single,never,yes,3,school_bus,05-Oct,76,84,78,238
173,female,group C,associate's degree,standard,none,married,sometimes,yes,2,school_bus,05-Oct,63,67,70,200
174,female,group C,bachelor's degree,free/reduced,completed,married,sometimes,no,1,school_bus,< 5,41,50,52,143
175,female,group C,master's degree,standard,completed,divorced,sometimes,yes,1,school_bus,05-Oct,81,92,89,262
176,female,group B,high school,free/reduced,completed,married,sometimes,no,2,school_bus,< 5,44,53,56,153
177,female,group C,associate's degree,standard,completed,married,regularly,yes,,school_bus,< 5,70,76,77,223
178,female,group B,master's degree,free/reduced,completed,divorced,regularly,yes,2,school_bus,05-Oct,54,72,65,191
179,female,group D,some high school,standard,completed,divorced,regularly,yes,0,school_bus,05-Oct,99,100,100,299
180,male,group C,master's degree,free/reduced,completed,single,sometimes,yes,2,private,< 5,60,68,75,203
181,female,group C,some college,free/reduced,none,single,sometimes,yes,1,private,05-Oct,46,64,66,176
182,female,group E,high school,standard,none,married,sometimes,yes,3,private,,50,50,47,147
183,female,group D,associate's degree,standard,none,single,sometimes,no,,private,< 5,63,67,68,198
185,male,group C,associate's degree,free/reduced,completed,married,never,yes,5,private,< 5,61,65,62,188
186,male,group E,high school,standard,none,married,never,yes,1,school_bus,< 5,75,73,62,210
187,male,group D,some high school,standard,completed,married,sometimes,no,4,private,05-Oct,62,66,68,196
188,male,group B,some high school,free/reduced,none,married,regularly,no,3,school_bus,< 5,47,51,45,143
189,female,group C,bachelor's degree,standard,none,single,sometimes,yes,1,school_bus,< 5,74,86,85,245
190,female,group E,associate's degree,standard,none,married,sometimes,yes,2,school_bus,05-Oct,66,65,69,200
191,male,group D,some college,standard,completed,married,sometimes,no,2,school_bus,< 5,73,81,77,231
192,female,group B,some high school,standard,none,single,sometimes,no,3,private,,62,64,66,192
193,male,group D,some college,standard,completed,married,regularly,yes,4,,,79,62,63,204
194,female,group C,master's degree,standard,completed,,regularly,yes,1,school_bus,< 5,69,85,87,241
195,male,group D,associate's degree,standard,none,married,regularly,no,4,school_bus,< 5,60,54,52,166
196,male,group C,,free/reduced,completed,married,never,yes,1,school_bus,05-Oct,57,67,63,187
197,male,group E,high school,free/reduced,none,married,,no,7,private,> 10,56,56,52,164
198,female,group B,some college,free/reduced,none,widowed,regularly,yes,3,,> 10,47,54,57,158
199,female,group B,bachelor's degree,free/reduced,,married,regularly,yes,3,private,05-Oct,80,80,77,237
200,female,group C,associate's degree,standard,completed,single,regularly,no,1,private,< 5,66,83,86,235
201,female,group D,some college,free/reduced,none,divorced,sometimes,yes,3,school_bus,< 5,63,79,75,217
202,male,group C,associate's degree,standard,none,married,sometimes,yes,2,school_bus,05-Oct,69,77,69,215
203,female,,associate's degree,standard,none,,regularly,yes,2,school_bus,05-Oct,58,70,69,197
204,male,group C,some college,standard,none,single,regularly,yes,1,,< 5,58,40,42,140
205,male,group D,some high school,standard,completed,married,,yes,,school_bus,< 5,71,69,76,216
206,male,group E,bachelor's degree,standard,none,married,regularly,yes,4,school_bus,05-Oct,84,62,63,209
207,male,group E,high school,standard,completed,married,regularly,no,2,school_bus,05-Oct,83,81,77,241
208,female,group B,some college,free/reduced,none,married,regularly,yes,1,private,< 5,73,80,76,229
209,female,group B,some college,free/reduced,,single,sometimes,no,2,,,58,61,66,185
210,male,group D,some high school,free/reduced,completed,widowed,sometimes,yes,3,school_bus,< 5,77,77,77,231
211,male,group C,some college,free/reduced,,married,sometimes,yes,3,school_bus,05-Oct,35,28,27,90
212,female,group C,high school,free/reduced,none,divorced,sometimes,yes,2,school_bus,05-Oct,42,62,60,164
213,male,group C,associate's degree,free/reduced,completed,single,regularly,no,1,school_bus,05-Oct,61,51,57,169
214,male,group E,high school,standard,,married,sometimes,yes,1,private,05-Oct,87,91,81,259
215,male,group B,some high school,standard,completed,,regularly,no,2,private,05-Oct,86,84,76,246
216,female,group E,associate's degree,free/reduced,completed,married,sometimes,yes,3,school_bus,< 5,80,84,86,250
217,female,group C,high school,free/reduced,,married,regularly,no,3,,< 5,33,41,39,113
218,male,group B,high school,free/reduced,none,married,sometimes,no,2,school_bus,< 5,64,75,68,207
219,male,group B,some high school,standard,completed,single,never,no,1,,05-Oct,59,55,54,168
220,female,group D,high school,standard,completed,widowed,regularly,yes,4,school_bus,05-Oct,57,69,75,201
221,male,group B,associate's degree,standard,none,married,sometimes,yes,0,school_bus,> 10,89,86,74,249
222,female,group C,some high school,free/reduced,,divorced,sometimes,no,3,,05-Oct,55,65,62,182
223,male,group D,some high school,standard,none,married,regularly,no,3,school_bus,05-Oct,88,81,76,245
224,female,group B,associate's degree,standard,completed,divorced,regularly,,3,school_bus,> 10,55,67,76,198
225,female,group E,master's degree,free/reduced,none,married,sometimes,no,,private,< 5,43,55,52,150
226,female,group C,some college,standard,none,married,sometimes,yes,5,school_bus,05-Oct,72,72,71,215
227,male,group D,high school,standard,none,single,regularly,yes,0,school_bus,05-Oct,58,50,55,163
228,male,group A,,free/reduced,none,divorced,sometimes,no,4,school_bus,05-Oct,68,72,64,204
229,female,group C,some college,standard,completed,married,regularly,yes,3,school_bus,> 10,93,97,98,288
230,male,group D,some college,standard,none,married,regularly,yes,0,,05-Oct,78,64,67,209
231,male,group C,associate's degree,standard,none,married,regularly,,1,private,05-Oct,47,43,43,133
232,female,group B,bachelor's degree,standard,none,married,sometimes,yes,2,school_bus,05-Oct,67,86,83,236
233,male,group E,some high school,standard,none,divorced,sometimes,yes,3,school_bus,> 10,94,88,79,261
234,male,group C,bachelor's degree,standard,completed,married,sometimes,no,3,school_bus,> 10,85,83,85,253
235,male,group D,associate's degree,standard,none,married,regularly,no,1,school_bus,> 10,84,77,80,241
236,male,group D,bachelor's degree,free/reduced,none,divorced,regularly,no,2,school_bus,< 5,62,65,67,194
237,female,group D,some high school,standard,,married,sometimes,yes,4,school_bus,< 5,62,59,72,193
238,male,group B,some college,standard,none,married,regularly,yes,2,private,> 10,57,53,53,163
239,male,group C,associate's degree,standard,none,,sometimes,yes,1,private,05-Oct,84,80,80,244
240,male,group D,high school,free/reduced,completed,divorced,,yes,1,private,> 10,75,69,67,211
241,female,group E,bachelor's degree,standard,none,single,regularly,no,4,private,05-Oct,82,84,85,251
243,male,group E,some college,standard,,single,regularly,no,2,school_bus,< 5,58,50,43,151
244,male,group D,some high school,standard,none,divorced,regularly,yes,1,school_bus,< 5,74,73,69,216
245,male,group C,associate's degree,standard,none,married,sometimes,no,3,private,< 5,82,74,69,225
246,male,group E,associate's degree,standard,,married,regularly,no,2,school_bus,05-Oct,91,77,75,243
247,female,group B,high school,standard,completed,single,sometimes,yes,1,private,05-Oct,58,70,68,196
248,female,group B,high school,standard,none,married,sometimes,yes,2,private,< 5,63,63,60,186
249,male,,high school,standard,none,married,sometimes,no,2,school_bus,> 10,70,60,54,184
250,male,group A,some high school,standard,completed,single,sometimes,yes,2,school_bus,05-Oct,47,49,49,145
251,female,group D,some college,free/reduced,none,married,regularly,,4,school_bus,< 5,70,82,83,235
252,female,group B,some high school,standard,completed,single,sometimes,yes,3,private,05-Oct,60,70,70,200
253,male,group D,master's degree,standard,none,married,sometimes,no,3,school_bus,,80,80,72,232
254,male,group D,high school,standard,none,married,sometimes,yes,0,private,05-Oct,54,52,52,158
255,female,group E,some college,standard,none,single,sometimes,no,1,school_bus,05-Oct,62,73,70,205
256,female,group C,associate's degree,free/reduced,none,single,sometimes,no,5,private,< 5,62,71,66,199
257,male,,associate's degree,standard,completed,married,regularly,,1,school_bus,05-Oct,80,78,78,236
260,female,group C,some high school,free/reduced,completed,married,sometimes,yes,1,private,> 10,65,80,78,223
261,male,group C,some college,standard,completed,married,sometimes,no,2,school_bus,05-Oct,79,79,78,236
262,female,group C,some high school,free/reduced,none,married,regularly,no,2,private,05-Oct,45,50,52,147
263,female,group E,high school,standard,none,single,sometimes,yes,1,private,05-Oct,99,93,90,282
264,male,group D,high school,standard,none,married,sometimes,no,2,private,05-Oct,76,73,68,217
265,male,group D,some high school,free/reduced,none,divorced,sometimes,no,1,school_bus,< 5,57,41,40,138
266,female,,bachelor's degree,standard,none,married,sometimes,no,2,school_bus,< 5,61,73,79,213
267,female,group D,high school,standard,none,married,regularly,no,3,school_bus,05-Oct,71,73,78,222
268,female,group D,associate's degree,standard,completed,married,regularly,yes,5,school_bus,> 10,93,94,99,286
269,female,group E,some college,free/reduced,none,married,sometimes,no,2,school_bus,,71,76,70,217
270,male,group C,bachelor's degree,standard,none,married,sometimes,yes,2,school_bus,05-Oct,69,63,61,193
271,male,group C,some college,standard,,single,regularly,yes,1,,< 5,57,48,42,147
272,female,group D,associate's degree,free/reduced,none,single,regularly,yes,2,private,05-Oct,48,53,59,160
273,female,group D,some college,standard,none,married,sometimes,no,2,private,05-Oct,65,70,71,206
274,male,group B,some college,standard,completed,widowed,,yes,1,school_bus,< 5,85,83,74,242
275,male,group C,bachelor's degree,standard,none,married,sometimes,no,3,school_bus,05-Oct,83,78,73,234
276,female,group C,some high school,standard,completed,married,sometimes,yes,3,private,< 5,82,90,91,263
277,female,group E,,standard,completed,single,sometimes,no,4,school_bus,< 5,57,62,73,192
278,female,group C,some high school,free/reduced,none,married,sometimes,yes,1,school_bus,05-Oct,65,86,80,231
279,male,group B,bachelor's degree,free/reduced,none,widowed,sometimes,no,2,school_bus,05-Oct,73,56,57,186
281,male,group D,high school,standard,none,divorced,sometimes,no,,private,05-Oct,45,48,46,139
282,female,group D,bachelor's degree,free/reduced,none,divorced,regularly,no,3,school_bus,05-Oct,75,80,86,241
283,female,group D,some college,free/reduced,completed,,never,yes,2,school_bus,05-Oct,67,76,76,219
284,female,,some high school,standard,none,married,regularly,yes,0,private,< 5,36,45,46,127
285,male,group B,associate's degree,standard,completed,married,never,yes,3,school_bus,05-Oct,78,80,79,237
286,male,group E,associate's degree,standard,completed,married,regularly,yes,0,private,05-Oct,99,83,90,272
287,female,group B,some high school,standard,none,married,sometimes,no,1,school_bus,< 5,64,87,80,231
288,male,group B,bachelor's degree,free/reduced,none,single,sometimes,yes,0,,< 5,85,73,74,232
289,male,,some high school,standard,completed,married,sometimes,yes,1,school_bus,> 10,79,77,78,234
290,male,group C,associate's degree,standard,none,married,sometimes,no,2,school_bus,05-Oct,76,70,68,214
291,male,group D,some high school,standard,none,married,sometimes,yes,2,private,< 5,83,71,68,222
292,male,group C,some high school,standard,completed,married,never,yes,1,private,05-Oct,61,59,55,175
293,female,group E,bachelor's degree,standard,none,married,sometimes,yes,,school_bus,> 10,66,74,76,216
294,male,group D,high school,free/reduced,completed,single,regularly,yes,3,school_bus,05-Oct,80,78,82,240
295,male,group B,associate's degree,free/reduced,none,married,never,yes,1,school_bus,> 10,66,61,59,186
296,male,,some high school,standard,completed,widowed,regularly,no,2,school_bus,05-Oct,47,41,44,132
297,male,,associate's degree,standard,completed,single,regularly,no,1,school_bus,05-Oct,73,75,69,217
298,male,group C,,free/reduced,completed,single,regularly,no,2,private,< 5,39,45,50,134
299,male,group D,associate's degree,free/reduced,none,married,regularly,no,2,,< 5,89,86,75,250
300,male,group A,some college,free/reduced,completed,married,never,yes,2,private,< 5,76,75,77,228
301,male,group D,some high school,free/reduced,,divorced,regularly,no,4,school_bus,< 5,55,53,52,160
302,female,group C,associate's degree,standard,completed,single,never,yes,5,school_bus,> 10,66,83,80,229
303,male,group B,associate's degree,standard,none,married,regularly,yes,1,school_bus,05-Oct,82,77,65,224
304,female,group C,associate's degree,standard,completed,married,regularly,yes,2,school_bus,05-Oct,76,76,85,237
305,male,group A,some college,standard,none,,sometimes,yes,7,private,05-Oct,69,67,69,205
306,male,group E,some college,standard,completed,divorced,regularly,yes,5,private,05-Oct,100,88,83,271
307,male,group C,some high school,standard,none,single,regularly,no,2,,05-Oct,52,52,45,149
308,female,group B,associate's degree,free/reduced,none,married,regularly,no,3,private,> 10,56,73,70,199
309,female,group D,high school,free/reduced,,single,regularly,yes,5,,< 5,48,56,52,156
310,female,group B,associate's degree,standard,none,married,sometimes,no,2,school_bus,05-Oct,73,76,80,229
311,male,group B,bachelor's degree,standard,none,married,never,yes,3,school_bus,< 5,62,58,54,174
312,male,group D,bachelor's degree,standard,completed,single,sometimes,yes,0,private,,67,61,68,196
313,female,group C,associate's degree,free/reduced,completed,single,sometimes,yes,2,private,> 10,70,68,70,208
315,male,group C,high school,standard,none,married,regularly,no,3,private,05-Oct,73,66,66,205
316,female,group D,master's degree,standard,completed,widowed,never,yes,3,private,05-Oct,74,80,88,242
317,male,group C,associate's degree,standard,none,single,sometimes,no,1,school_bus,05-Oct,83,72,78,233
318,male,group B,bachelor's degree,standard,none,married,sometimes,yes,,private,< 5,61,69,67,197
319,female,group D,associate's degree,free/reduced,none,single,regularly,no,1,school_bus,< 5,55,64,63,182
320,female,group C,high school,free/reduced,,divorced,sometimes,yes,2,,< 5,64,77,82,223
321,female,group E,high school,standard,none,married,never,no,3,private,> 10,74,85,78,237
322,female,group C,some college,standard,none,married,regularly,yes,2,private,< 5,70,80,80,230
323,female,group C,some high school,free/reduced,none,married,sometimes,yes,5,private,05-Oct,40,52,51,143
