,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,MathScore,ReadingScore,WritingScore,total
168,female,group B,high school,standard,completed,68,83,78,229
169,female,group C,some college,free/reduced,completed,67,75,70,212
170,male,group A,high school,standard,completed,72,73,74,219
171,male,group E,some high school,standard,none,94,88,78,260
172,female,group D,some college,standard,none,79,86,81,246
173,female,group C,associate's degree,standard,none,63,67,70,200
174,female,group C,bachelor's degree,free/reduced,completed,43,51,54,148
175,female,group C,master's degree,standard,completed,81,91,87,259
176,female,group B,high school,free/reduced,completed,46,54,58,158
177,female,group C,associate's degree,standard,completed,71,77,77,225
178,female,group B,master's degree,free/reduced,completed,52,70,62,184
179,female,group D,some high school,standard,completed,97,100,100,297
180,male,group C,master's degree,free/reduced,completed,62,68,75,205
181,female,group C,some college,free/reduced,none,46,64,66,176
182,female,group E,high school,standard,none,50,50,47,147
183,female,group D,associate's degree,standard,none,65,69,70,204
184,male,group C,some high school,free/reduced,completed,45,52,49,146
185,male,group C,associate's degree,free/reduced,completed,65,67,65,197
186,male,group E,high school,standard,none,80,76,65,221
187,male,group D,some high school,standard,completed,62,66,68,196
188,male,group B,some high school,free/reduced,none,48,52,45,145
189,female,group C,bachelor's degree,standard,none,77,88,87,252
190,female,group E,associate's degree,standard,none,66,65,69,200
191,male,group D,some college,standard,completed,76,83,79,238
192,female,group B,some high school,standard,none,62,64,66,192
193,male,group D,some college,standard,completed,77,62,62,201
194,female,group C,master's degree,standard,completed,69,84,85,238
195,male,group D,associate's degree,standard,none,61,55,52,168
196,male,group C,some high school,free/reduced,completed,59,69,65,193
197,male,group E,high school,free/reduced,none,55,56,51,162
198,female,group B,some college,free/reduced,none,45,53,55,153
199,female,group B,bachelor's degree,free/reduced,none,78,79,76,233
200,female,group C,associate's degree,standard,completed,67,84,86,237
201,female,group D,some college,free/reduced,none,65,81,77,223
202,male,group C,associate's degree,standard,none,69,77,69,215
203,female,group B,associate's degree,standard,none,57,69,68,194
204,male,group C,some college,standard,none,59,41,42,142
205,male,group D,some high school,standard,completed,74,71,78,223
206,male,group E,bachelor's degree,standard,none,82,62,62,206
207,male,group E,high school,standard,completed,81,80,76,237
208,female,group B,some college,free/reduced,none,74,81,76,231
209,female,group B,some college,free/reduced,none,58,61,66,185
210,male,group D,some high school,free/reduced,completed,80,79,79,238
211,male,group C,some college,free/reduced,none,35,28,27,90
212,female,group C,high school,free/reduced,none,42,62,60,164
213,male,group C,associate's degree,free/reduced,completed,60,51,56,167
214,male,group E,high school,standard,completed,87,91,81,259
215,male,group B,some high school,standard,completed,84,83,75,242
216,female,group E,associate's degree,free/reduced,completed,83,86,88,257
217,female,group C,high school,free/reduced,none,34,42,39,115
218,male,group B,high school,free/reduced,none,66,77,70,213
219,male,group B,some high school,standard,completed,61,56,56,173
220,female,group D,high school,standard,completed,56,68,74,198
221,male,group B,associate's degree,standard,none,87,85,73,245
222,female,group C,some high school,free/reduced,none,55,65,62,182
223,male,group D,some high school,standard,none,86,80,75,241
224,female,group B,associate's degree,standard,completed,52,66,73,191
225,female,group E,master's degree,free/reduced,none,45,56,54,155
226,female,group C,some college,standard,none,72,72,71,215
227,male,group D,high school,standard,none,57,50,54,161
228,male,group A,some high school,free/reduced,none,68,72,64,204
229,female,group C,some college,standard,completed,88,95,94,277
230,male,group D,some college,standard,none,76,64,66,206
231,male,group C,associate's degree,standard,none,46,43,42,131
232,female,group B,bachelor's degree,standard,none,67,86,83,236
233,male,group E,some high school,standard,none,92,87,78,257
234,male,group C,bachelor's degree,standard,completed,83,82,84,249
235,male,group D,associate's degree,standard,none,80,75,77,232
236,male,group D,bachelor's degree,free/reduced,none,63,66,67,196
237,female,group D,some high school,standard,completed,64,60,74,198
238,male,group B,some college,standard,none,54,52,51,157
239,male,group C,associate's degree,standard,none,84,80,80,244
240,male,group D,high school,free/reduced,completed,73,68,66,207
241,female,group E,bachelor's degree,standard,none,80,83,83,246
242,female,group D,high school,standard,none,56,52,55,163
243,male,group E,some college,standard,none,59,51,43,153
244,male,group D,some high school,standard,none,75,74,69,218
245,male,group C,associate's degree,standard,none,85,76,71,232
246,male,group E,associate's degree,standard,none,89,76,74,239
247,female,group B,high school,standard,completed,58,70,68,196
248,female,group B,high school,standard,none,65,64,62,191
249,male,group C,high school,standard,none,68,60,53,181
250,male,group A,some high school,standard,completed,47,49,49,145
251,female,group D,some college,free/reduced,none,71,83,83,237
252,female,group B,some high school,standard,completed,60,70,70,200
253,male,group D,master's degree,standard,none,80,80,72,232
254,male,group D,high school,standard,none,54,52,52,158
255,female,group E,some college,standard,none,62,73,70,205
256,female,group C,associate's degree,free/reduced,none,64,73,68,205
257,male,group C,associate's degree,standard,completed,78,77,77,232
258,female,group B,some college,standard,none,70,75,78,223
259,female,group C,master's degree,free/reduced,completed,65,81,81,227
260,female,group C,some high school,free/reduced,completed,64,79,77,220
261,male,group C,some college,standard,completed,79,79,78,236
262,female,group C,some high school,free/reduced,none,44,50,51,145
263,female,group E,high school,standard,none,99,93,90,282
264,male,group D,high school,standard,none,76,73,68,217
265,male,group D,some high school,free/reduced,none,59,42,41,142
266,female,group C,bachelor's degree,standard,none,63,75,81,219
267,female,group D,high school,standard,none,69,72,77,218
268,female,group D,associate's degree,standard,completed,88,92,95,275
269,female,group E,some college,free/reduced,none,71,76,70,217
270,male,group C,bachelor's degree,standard,none,69,63,61,193
271,male,group C,some college,standard,none,58,49,42,149
272,female,group D,associate's degree,free/reduced,none,47,53,58,158
273,female,group D,some college,standard,none,65,70,71,206
274,male,group B,some college,standard,completed,88,85,76,249
275,male,group C,bachelor's degree,standard,none,83,78,73,234
276,female,group C,some high school,standard,completed,85,92,93,270
277,female,group E,high school,standard,completed,59,63,75,197
278,female,group C,some high school,free/reduced,none,65,86,80,231
279,male,group B,bachelor's degree,free/reduced,none,73,56,57,186
280,male,group D,high school,standard,none,53,52,42,147
281,male,group D,high school,standard,none,45,48,46,139
282,female,group D,bachelor's degree,free/reduced,none,73,79,84,236
283,female,group D,some college,free/reduced,completed,70,78,78,226
284,female,group B,some high school,standard,none,37,46,46,129
285,male,group B,associate's degree,standard,completed,81,82,82,245
286,male,group E,associate's degree,standard,completed,97,82,88,267
287,female,group B,some high school,standard,none,67,89,82,238
288,male,group B,bachelor's degree,free/reduced,none,88,75,76,239
289,male,group E,some high school,standard,completed,77,76,77,230
290,male,group C,associate's degree,standard,none,76,70,68,214
291,male,group D,some high school,standard,none,86,73,70,229
292,male,group C,some high school,standard,completed,63,60,57,180
293,female,group E,bachelor's degree,standard,none,65,73,75,213
294,male,group D,high school,free/reduced,completed,78,77,80,235
295,male,group B,associate's degree,free/reduced,none,67,62,60,189
296,male,group A,some high school,standard,completed,46,41,43,130
297,male,group E,associate's degree,standard,completed,71,74,68,213
298,male,group C,high school,free/reduced,completed,40,46,50,136
299,male,group D,associate's degree,free/reduced,none,90,87,75,252
300,male,group A,some college,free/reduced,completed,81,78,81,240
301,male,group D,some high school,free/reduced,none,56,54,52,162
302,female,group C,associate's degree,standard,completed,67,84,81,232
303,male,group B,associate's degree,standard,none,80,76,64,220
304,female,group C,associate's degree,standard,completed,74,75,83,232
305,male,group A,some college,standard,none,69,67,69,205
306,male,group E,some college,standard,completed,99,87,81,267
307,male,group C,some high school,standard,none,51,52,44,147
308,female,group B,associate's degree,free/reduced,none,53,71,67,191
309,female,group D,high school,free/reduced,none,49,57,52,158
310,female,group B,associate's degree,standard,none,73,76,80,229
311,male,group B,bachelor's degree,standard,none,66,60,57,183
312,male,group D,bachelor's degree,standard,completed,67,61,68,196
313,female,group C,associate's degree,free/reduced,completed,68,67,69,204
314,female,group C,bachelor's degree,standard,completed,59,64,75,198
315,male,group C,high school,standard,none,71,66,65,202
316,female,group D,master's degree,standard,completed,77,82,91,250
317,male,group C,associate's degree,standard,none,83,72,78,233
318,male,group B,bachelor's degree,standard,none,63,71,69,203
319,female,group D,associate's degree,free/reduced,none,56,65,63,184
320,female,group C,high school,free/reduced,completed,67,79,84,230
321,female,group E,high school,standard,none,75,86,79,240
322,female,group C,some college,standard,none,71,81,80,232
323,female,group C,some high school,free/reduced,none,43,53,53,149
324,female,group C,high school,free/reduced,none,41,46,43,130
325,female,group C,some college,standard,none,82,90,94,266
326,male,group C,some college,standard,none,61,61,62,184
327,male,group A,some college,free/reduced,none,28,23,19,70
328,male,group C,associate's degree,standard,completed,82,75,77,234
329,female,group B,some high school,standard,none,41,55,51,147
330,male,group C,high school,standard,none,71,60,61,192
331,male,group C,associate's degree,standard,none,47,37,35,119
332,male,group E,associate's degree,standard,completed,62,56,53,171
333,male,group B,associate's degree,standard,none,90,78,81,249
334,female,group C,bachelor's degree,standard,none,83,93,95,271
335,female,group B,some college,free/reduced,none,61,68,66,195
336,male,group D,some high school,standard,completed,76,70,69,215
337,male,group C,associate's degree,standard,none,49,51,43,143
338,female,group B,some high school,free/reduced,none,24,38,27,89
339,female,group D,some high school,free/reduced,completed,35,55,60,150
340,male,group C,high school,free/reduced,none,58,61,52,171
341,female,group C,high school,standard,none,61,73,63,197
342,female,group B,high school,standard,completed,69,76,74,219
343,male,group D,associate's degree,standard,completed,67,72,67,206
344,male,group D,some college,standard,none,79,73,67,219
345,female,group C,high school,standard,none,72,80,75,227
346,male,group B,some college,standard,none,62,61,57,180
347,female,group C,bachelor's degree,standard,completed,77,94,95,266
348,male,group D,high school,free/reduced,none,75,74,66,215
349,male,group E,associate's degree,standard,none,87,74,76,237
350,female,group B,bachelor's degree,standard,none,52,65,69,186
351,male,group E,some college,standard,none,66,57,52,175
352,female,group C,some college,standard,completed,63,78,80,221
353,female,group C,associate's degree,standard,none,46,58,57,161
354,female,group C,some college,standard,none,59,71,70,200
355,female,group B,bachelor's degree,standard,none,61,72,70,203
356,male,group A,associate's degree,standard,none,63,61,61,185
357,female,group C,some college,free/reduced,completed,42,66,69,177
358,male,group D,some college,free/reduced,none,59,62,61,182
359,female,group D,some college,standard,none,80,90,89,259
360,female,group B,high school,standard,none,58,62,59,179
361,male,group B,some high school,standard,completed,85,84,78,247
362,female,group C,some college,standard,none,52,58,58,168
363,female,group D,some high school,free/reduced,none,27,34,32,93
364,male,group C,some college,standard,none,59,60,58,177
365,male,group A,bachelor's degree,free/reduced,completed,49,58,60,167
366,male,group C,high school,standard,completed,69,58,53,180
367,male,group C,bachelor's degree,free/reduced,none,61,66,61,188
368,female,group A,some high school,free/reduced,none,44,64,58,166
369,female,group D,some high school,standard,none,73,84,85,242
370,male,group E,some college,standard,none,84,77,71,232
371,female,group C,some college,free/reduced,completed,45,73,70,188
372,male,group D,some high school,standard,none,74,74,72,220
373,female,group D,some college,standard,completed,82,97,96,275
374,female,group D,bachelor's degree,standard,none,59,70,73,202
375,male,group E,associate's degree,free/reduced,none,46,43,41,130
376,female,group D,some high school,standard,none,80,90,82,252
377,female,group D,master's degree,free/reduced,completed,85,95,100,280
378,female,group A,some high school,standard,none,71,83,77,231
379,male,group A,bachelor's degree,standard,none,66,64,62,192
380,female,group B,associate's degree,standard,none,80,86,83,249
381,male,group C,associate's degree,standard,completed,87,100,95,282
382,male,group C,master's degree,free/reduced,none,79,81,71,231
383,female,group E,some high school,free/reduced,none,38,49,45,132
384,female,group A,some high school,free/reduced,none,38,43,43,124
385,female,group E,some college,standard,none,67,76,75,218
386,female,group E,bachelor's degree,standard,none,64,73,70,207
387,female,group C,associate's degree,free/reduced,none,57,78,67,202
388,female,group D,high school,standard,none,62,64,64,190
389,male,group D,master's degree,standard,none,73,70,75,218
390,male,group E,some high school,free/reduced,completed,73,67,59,199
391,female,group D,some college,standard,none,77,68,77,222
392,male,group E,some college,standard,none,76,67,67,210
393,male,group C,associate's degree,standard,completed,57,54,56,167
394,female,group C,some high school,standard,completed,65,74,77,216
395,male,group A,high school,free/reduced,none,48,45,41,134
396,female,group B,high school,free/reduced,none,50,67,63,180
397,female,group C,associate's degree,standard,none,85,89,95,269
398,male,group B,some high school,standard,none,74,63,57,194
399,male,group D,some high school,standard,none,60,59,54,173
400,female,group C,some high school,standard,completed,59,54,67,180
401,male,group A,some college,standard,none,53,43,43,139
402,female,group A,some college,free/reduced,none,49,65,55,169
403,female,group D,high school,standard,completed,88,99,100,287
404,female,group C,high school,standard,none,54,59,62,175
405,female,group C,some high school,standard,none,63,73,68,204
406,male,group B,associate's degree,standard,completed,65,65,63,193
407,female,group B,associate's degree,standard,none,82,80,77,239
408,female,group D,high school,free/reduced,completed,52,57,56,165
409,male,group D,associate's degree,standard,completed,87,84,85,256
410,female,group D,master's degree,standard,completed,70,71,74,215
411,male,group E,some college,standard,completed,84,83,78,245
412,male,group D,associate's degree,standard,none,71,66,60,197
413,male,group B,some high school,standard,completed,63,67,67,197
414,female,group C,bachelor's degree,free/reduced,completed,51,72,79,202
415,male,group E,high school,standard,none,84,73,69,226
416,male,group C,bachelor's degree,standard,completed,71,74,68,213
417,male,group C,associate's degree,standard,none,74,73,67,214
418,male,group D,some college,standard,none,68,59,62,189
419,male,group E,high school,free/reduced,completed,57,56,54,167
420,female,group C,associate's degree,free/reduced,completed,82,93,93,268
421,female,group D,high school,standard,completed,57,58,64,179
422,female,group D,master's degree,free/reduced,completed,47,58,67,172
423,female,group A,some high school,standard,completed,59,85,80,224
424,male,group B,some college,free/reduced,none,41,39,34,114
425,female,group C,some college,free/reduced,none,62,67,62,191
426,male,group C,bachelor's degree,standard,none,86,83,86,255
427,male,group C,some high school,free/reduced,none,69,71,65,205
428,male,group A,some high school,free/reduced,none,65,59,53,177
429,male,group C,some high school,free/reduced,none,68,63,54,185
430,male,group C,associate's degree,free/reduced,none,64,66,59,189
431,female,group C,high school,standard,none,61,72,70,203
432,male,group C,high school,standard,none,61,56,55,172
433,female,group A,some high school,free/reduced,none,47,59,50,156
434,male,group C,some high school,standard,none,73,66,66,205
435,male,group C,some college,free/reduced,completed,50,48,53,151
436,male,group D,associate's degree,standard,none,75,68,64,207
437,male,group D,associate's degree,free/reduced,none,75,66,73,214
438,male,group C,high school,standard,none,70,56,51,177
439,male,group D,some high school,standard,completed,89,88,82,259
440,female,group C,some college,standard,completed,67,81,79,227
441,female,group D,high school,standard,none,78,81,80,239
442,female,group A,some high school,free/reduced,none,59,73,69,201
443,female,group B,associate's degree,standard,none,73,83,76,232
444,male,group A,some high school,free/reduced,none,79,82,73,234
445,female,group C,some high school,standard,completed,67,74,77,218
446,male,group D,some college,free/reduced,none,69,66,60,195
447,male,group C,high school,standard,completed,86,81,80,247
448,male,group B,high school,standard,none,47,46,42,135
449,male,group B,associate's degree,standard,none,81,73,72,226
450,female,group C,some college,free/reduced,completed,64,85,85,234
451,female,group E,some college,standard,none,100,92,97,289
452,female,group C,associate's degree,free/reduced,none,65,77,74,216
453,male,group C,some college,free/reduced,none,65,58,49,172
454,female,group C,associate's degree,free/reduced,none,53,61,62,176
455,male,group C,bachelor's degree,free/reduced,none,37,56,47,140
456,female,group D,bachelor's degree,standard,none,79,89,89,257
457,male,group D,associate's degree,free/reduced,none,53,54,48,155
458,female,group E,bachelor's degree,standard,none,100,100,100,300
459,male,group B,high school,standard,completed,72,65,68,205
460,male,group C,bachelor's degree,free/reduced,none,53,58,55,166
461,male,group B,some college,free/reduced,none,54,54,45,153
462,female,group E,some college,standard,none,71,70,76,217
463,female,group C,some college,free/reduced,none,77,90,91,258
464,male,group A,bachelor's degree,standard,completed,75,58,62,195
465,female,group C,some college,standard,none,84,87,91,262
466,female,group D,associate's degree,free/reduced,none,26,31,38,95
467,male,group A,high school,free/reduced,completed,72,67,65,204
468,female,group A,high school,free/reduced,completed,77,88,85,250
469,male,group C,some college,standard,none,91,74,76,241
470,female,group C,associate's degree,standard,completed,83,85,90,258
471,female,group C,high school,standard,none,63,69,74,206
472,female,group C,associate's degree,standard,completed,68,86,84,238
473,female,group D,some high school,standard,none,59,67,61,187
474,female,group B,associate's degree,standard,completed,90,90,91,271
475,female,group D,bachelor's degree,standard,completed,71,76,83,230
476,male,group E,bachelor's degree,standard,completed,76,62,66,204
477,male,group D,associate's degree,standard,none,80,68,72,220
478,female,group D,master's degree,standard,none,55,64,70,189
479,male,group E,associate's degree,standard,none,76,71,67,214
480,male,group B,high school,standard,completed,73,71,68,212
481,female,group D,associate's degree,free/reduced,none,52,59,56,167
482,male,group C,some college,free/reduced,none,68,68,61,197
483,male,group A,high school,standard,none,59,52,46,157
484,female,group B,associate's degree,standard,none,49,52,54,155
485,male,group C,high school,standard,none,70,74,71,215
486,male,group D,some college,free/reduced,none,61,47,56,164
487,female,group C,associate's degree,free/reduced,none,60,75,74,209
488,male,group B,some high school,standard,completed,64,53,57,174
489,male,group A,associate's degree,free/reduced,completed,79,82,82,243
490,female,group A,associate's degree,free/reduced,none,65,85,76,226
491,female,group C,associate's degree,standard,none,64,64,70,198
492,female,group C,some college,standard,none,83,83,90,256
493,female,group C,bachelor's degree,standard,none,81,88,90,259
494,female,group B,high school,standard,none,54,64,68,186
495,male,group D,high school,standard,completed,68,64,66,198
496,female,group C,some college,standard,none,54,48,52,154
497,female,group D,some college,free/reduced,completed,59,78,76,213
498,female,group B,some high school,standard,none,66,69,68,203
499,male,group E,some college,standard,none,76,71,72,219
500,female,group D,master's degree,standard,none,74,79,82,235
501,female,group B,associate's degree,standard,completed,94,87,92,273
502,male,group C,some college,free/reduced,none,63,61,54,178
503,female,group E,associate's degree,standard,completed,95,89,92,276
504,female,group D,master's degree,free/reduced,none,40,59,54,153
505,female,group B,some high school,standard,none,82,82,80,244
506,male,group A,high school,standard,none,68,70,66,204
507,male,group B,bachelor's degree,free/reduced,none,55,59,54,168
508,male,group C,master's degree,standard,none,79,78,77,234
509,female,group C,bachelor's degree,standard,none,86,92,87,265
510,male,group D,some college,standard,none,76,71,73,220
511,male,group A,some high school,standard,none,64,50,43,157
512,male,group D,some high school,free/reduced,none,62,49,52,163
513,female,group B,some high school,standard,completed,54,61,62,177
514,female,group B,master's degree,free/reduced,completed,77,97,94,268
515,female,group C,some high school,standard,completed,76,87,85,248
516,female,group D,some college,standard,none,74,89,84,247
517,female,group E,some college,standard,completed,66,74,73,213
518,female,group D,some high school,standard,completed,66,78,78,222
519,female,group B,high school,free/reduced,completed,67,78,79,224
520,male,group D,some college,standard,none,71,49,52,172
521,female,group C,associate's degree,standard,none,91,86,84,261
522,male,group D,bachelor's degree,standard,none,69,58,57,184
523,male,group C,master's degree,free/reduced,none,54,59,50,163
524,male,group C,high school,standard,completed,53,52,49,154
525,male,group E,some college,standard,none,68,60,59,187
526,male,group C,some high school,free/reduced,completed,56,61,60,177
527,female,group C,high school,free/reduced,none,36,53,43,132
528,female,group D,bachelor's degree,free/reduced,none,29,41,47,117
529,female,group C,associate's degree,standard,none,62,74,70,206
530,female,group C,associate's degree,standard,completed,68,67,73,208
531,female,group C,some high school,standard,none,47,54,53,154
532,male,group E,associate's degree,standard,completed,62,61,58,181
533,female,group E,associate's degree,standard,completed,79,88,94,261
534,male,group B,high school,standard,completed,73,69,68,210
